crisis,crisis_id,country,iso3,drivers,regions,inform_severity_index,inform_severity_category,trend_last_3_months,reliability,impact_of_the_crisis,geographical,human,conditions_of_people_affected,people_in_need,concentration_of_conditions,complexity_of_the_crisis,society_and_safety,operating_environment
Complex crisis in Afghanistan,AFG001,Afghanistan,AFG,"Conflict/ Violence,International Displacement,Earthquake,Drought/drier conditions",Asia,4.5,5,Increasing,High,4.7,4.9,4.6,4.5,5,4,4.2,3.8,4.5
Drought in South-West Angola,AGO002,Angola,AGO,Drought/drier conditions,Africa,3.1,4,Increasing,Medium,2.2,2.1,2.2,3.85,3.7,4,2.3,3.3,1.0
Complex in Burundi,BDI001,Burundi,BDI,"International Displacement,Floods",Africa,3.3,4,Stable,Very High,3.4,4.0,3.1,3.25,3.5,3,3.2,2.9,3.5
Conflict in northern region,BEN002,Benin,BEN,"Conflict/ Violence,International Displacement",Africa,2.4,3,Increasing,Very High,2.4,1.8,2.6,2.5,2,3,2.3,2.5,2.0
Conflict in Burkina Faso,BFA002,Burkina Faso,BFA,"Conflict/ Violence,International Displacement",Africa,4.1,5,Decreasing,Very High,4.3,4.7,4.1,4.3,4.6,4,3.7,3.4,4.0
Rohingya refugee crisis,BGD002,Bangladesh,BGD,"Conflict/ Violence,International Displacement",Asia,3,3,Decreasing,Very High,2.8,0.2,3.7,3.35,3.7,3,2.5,2.5,2.5
Food Security Crisis in Bangladesh,BGD012,Bangladesh,BGD,0,Asia,3.2,4,Decreasing,Very High,2.9,3.6,2.5,4,5,3,2.0,2.5,1.5
Displacement from Russia-Ukraine conflict in Bulgaria,BGR002,Bulgaria,BGR,International Displacement,Europe,1.5,2,Stable,Very High,2.5,4.0,1.5,1.25,1.5,1,1.1,1.2,1.0
Displacement from Russia-Ukraine conflict in Belarus,BLR002,Belarus,BLR,International Displacement,Europe,1.9,2,Stable,High,2.7,4.3,1.4,1.05,1.1,1,2.4,2.3,2.5
Venezuela displacement in Brazil,BRA002,Brazil,BRA,International Displacement,Americas,2.5,3,Increasing,High,3.7,4.1,3.5,1.95,2.9,1,2.2,2.4,2.0
Complex crisis in CAR,CAF001,CAR,CAF,"Conflict/ Violence,International Displacement",Africa,4,4,Stable,High,4.3,4.4,4.2,4,4,4,3.9,3.8,4.0
Venezuela displacement in Chile,CHL002,Chile,CHL,International Displacement,Americas,2.8,3,Increasing,High,3.4,3.5,3.4,3.05,3.1,3,1.9,1.7,2.0
Lake Chad basin crisis in Cameroon,CMR002,Cameroon,CMR,Conflict/ Violence,Africa,3.4,4,Stable,Very High,3.5,1.6,4.1,3.3,3.6,3,3.6,3.7,3.5
Anglophone Crisis in Cameroon,CMR003,Cameroon,CMR,Conflict/ Violence,Africa,3.6,4,Increasing,Very High,3.8,3.1,4.1,3.4,3.8,3,3.9,3.7,4.0
CAR refugees in Cameroon,CMR004,Cameroon,CMR,"Conflict/ Violence,International Displacement",Africa,2.9,3,Increasing,Very High,2.7,1.9,3.0,2.7,2.4,3,3.2,3.7,2.5
Complex crisis in DRC,COD001,DRC,COD,"Conflict/ Violence,International Displacement",Africa,4.3,5,Decreasing,Very High,4.6,5.0,4.4,4,5,3,4.4,4.3,4.5
Complex crisis in Colombia,COL001,Colombia,COL,"Conflict/ Violence,Floods,International Displacement",Americas,3.9,4,Decreasing,Very High,4.4,5.0,4.0,3.95,4.9,3,3.5,3.0,4.0
Venezuela displacement in Colombia,COL002,Colombia,COL,International Displacement,Americas,3.3,4,Increasing,Very High,3.5,4.3,2.9,3.6,4.2,3,2.8,3.0,2.5
Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,CRI,International Displacement,Americas,2.2,3,Decreasing,Medium,2.8,2.5,2.9,2.6,2.2,3,1.0,0.9,1.0
Displacement from Russia-Ukraine conflict in Czechia,CZE002,Czech Republic,CZE,International Displacement,Europe,1.9,2,Stable,Very High,2.9,4.2,2.0,1.85,2.7,1,1.1,0.6,1.5
Mixed migration in Djibouti,DJI002,Djibouti,DJI,International Displacement,Africa,1.5,2,Stable,High,2.1,1.7,2.3,0.95,0.9,1,1.8,2.5,1.0
Drought in Djibouti,DJI003,Djibouti,DJI,Drought/drier conditions,Africa,2.6,3,Stable,Medium,2.2,3.2,1.6,2.7,2.4,3,2.8,2.5,3.0
Venezuela displacement in Dominican Republic,DOM002,Dominican Republic,DOM,International Displacement,Americas,1.8,2,Stable,High,3.2,4.1,2.7,1.25,1.5,1,1.2,1.3,1.0
Mixed migration flows in Algeria,DZA002,Algeria,DZA,International Displacement,Africa,2.6,3,Stable,High,3.9,5.0,3.1,1.7,2.4,1,2.7,2.9,2.5
Sahrawi refugees in Algeria,DZA003,Algeria,DZA,International Displacement,Africa,2.5,3,Stable,High,2.2,1.1,2.7,2.55,2.1,3,2.5,2.9,2.0
Venezuela displacement in Ecuador,ECU002,Ecuador,ECU,International Displacement,Americas,2.9,3,Increasing,High,3.2,2.7,3.4,3.05,3.1,3,2.5,2.5,2.5
Criminal violence in Ecuador,ECU003,Ecuador,ECU,International Displacement,Americas,3.2,4,-,Very High,2.7,3.7,2.0,3.55,4.1,3,3.0,2.5,3.5
Refugees in Egypt,EGY004,Egypt,EGY,International Displacement,Africa,2.2,3,Stable,Very High,2.2,2.0,2.3,2.15,3.3,1,2.2,2.3,2.0
Complex crisis in Eritrea,ERI001,Eritrea,ERI,International Displacement,Africa,3,3,Decreasing,High,3.1,3.9,2.6,3.2,3.4,3,2.6,3.1,2.0
Mixed migration flows in Spain,ESP002,Spain,ESP,International Displacement,Europe,1.6,2,Decreasing,Very High,2.6,2.3,2.7,1.25,1.5,1,1.4,1.7,1.0
Displacement from Russia-Ukraine conflict in Estonia,EST002,Estonia,EST,International Displacement,Europe,1.2,2,Stable,Very High,2.1,3.4,1.3,1.05,1.1,1,0.8,0.6,1.0
Complex crisis in Ethiopia,ETH001,Ethiopia,ETH,"International Displacement,Floods,Conflict/ Violence,Drought/drier conditions",Africa,4.3,5,Stable,High,4.6,5.0,4.3,4.5,5,4,3.8,3.6,4.0
International Displacement,ETH003,Ethiopia,ETH,International Displacement,Africa,3.1,4,Increasing,Medium,4.0,4.7,3.5,2.2,3.4,1,3.6,3.6,3.5
Northern Ethiopia Conflict,ETH004,Ethiopia,ETH,"Conflict/ Violence,International Displacement",Africa,4.3,5,Increasing,High,4.5,2.9,5.0,4.45,4.9,4,3.8,3.6,4.0
Drought in Ethiopia,ETH005,Ethiopia,ETH,Drought/drier conditions,Africa,4.1,5,Stable,High,4.1,4.5,3.9,4.5,5,4,3.3,3.6,3.0
Mixed migration flows in Greece,GRC002,Greece,GRC,International Displacement,Europe,2.3,3,Stable,High,2.3,0.6,3.0,2.65,2.3,3,1.7,1.9,1.5
Complex crisis in Guatemala,GTM001,Guatemala,GTM,0,Americas,3.3,4,Decreasing,Very High,3.4,4.4,2.7,3.45,3.9,3,3.1,3.1,3.0
Complex crisis in Honduras,HND001,Honduras,HND,0,Americas,3.4,4,Stable,Very High,3.9,4.2,3.7,3.35,3.7,3,3.2,2.8,3.5
Complex crisis in Haiti,HTI001,Haiti,HTI,0,Americas,4.4,5,Increasing,Very High,4.4,4.0,4.6,4.8,4.6,5,3.8,3.6,4.0
Displacement from Russia-Ukraine conflict in Hungary,HUN002,Hungary,HUN,International Displacement,Europe,1.5,2,Stable,Very High,2.6,4.2,1.4,1.15,1.3,1,1.1,1.2,1.0
Papua Conflict,IDN002,Indonesia,IDN,Conflict/ Violence,Asia,2.5,3,Stable,High,2.9,2.1,3.3,1.85,1.7,2,3.1,2.6,3.5
Afghan Refugees in Iran,IRN004,Iran,IRN,International Displacement,Middle east,3.8,4,Increasing,High,3.6,2.7,4.0,4.3,4.6,4,3.2,3.3,3.0
Conflict  in Iraq,IRQ002,Iraq,IRQ,Conflict/ Violence,Middle east,2.7,3,Decreasing,Very High,4.0,4.7,3.6,1.8,1.6,2,2.8,3.1,2.5
Syrian and Palestinian refugees in iraq,IRQ003,Iraq,IRQ,International Displacement,Middle east,2.1,3,Stable,High,2.8,1.6,3.3,1.45,0.9,2,2.6,3.1,2.0
Mixed migration flows in Italy,ITA002,Italy,ITA,International Displacement,Europe,1.7,2,Decreasing,Very High,2.7,2.4,2.9,1.25,1.5,1,1.5,1.4,1.5
Syrian refugees in Jordan,JOR002,Jordan,JOR,International Displacement,Middle east,2.8,3,Stable,High,2.8,3.1,2.6,3.25,3.5,3,2.0,2.5,1.5
Refugee situation in Kenya,KEN002,Kenya,KEN,International Displacement,Africa,2.8,3,Stable,High,2.3,0.9,2.9,3.1,3.2,3,2.6,3.5,1.5
Drought in Kenya,KEN003,Kenya,KEN,Drought/drier conditions,Africa,3.3,4,Decreasing,High,3.6,3.8,3.45,3.55,4.1,3,2.8,3.5,2.0
Syrian refugees in Lebanon,LBN002,Lebanon,LBN,International Displacement,Middle east,3.2,4,Decreasing,Very High,3.3,3.6,3.1,3.3,3.6,3,3.1,3.2,3.0
Complex crisis in Lebanon,LBN006,Lebanon,LBN,"International Displacement,Conflict/ Violence",Middle east,4.1,5,Increasing,Very High,4.3,3.6,4.6,4.2,4.4,4,3.9,3.2,4.5
Mixed migration flows in Libya,LBY002,Libya,LBY,International Displacement,Africa,3.3,4,Decreasing,Very High,3.9,4.6,3.4,3,3,3,3.2,3.3,3.0
Refugees from Sudan in Libya,LBY004,Libya,LBY,International Displacement,Africa,3.1,4,Increasing,Very High,2.3,2.8,2.1,3.35,2.7,4,3.2,3.3,3.0
Food security crisis in Lesotho,LSO004,Lesotho,LSO,0,Africa,2.1,3,Decreasing,High,2.1,3.0,1.6,2.75,2.5,3,1.0,1.4,0.5
Displacement from Russia-Ukraine conflict in Lithuania,LTU002,Lithuania,LTU,International Displacement,Europe,1.3,2,Stable,Very High,2.3,3.7,1.3,1.05,1.1,1,0.9,0.8,1.0
Displacement from Russia-Ukraine conflict in Latvia,LVA002,Latvia,LVA,International Displacement,Europe,1.3,2,Stable,Very High,2.2,3.5,1.4,1.1,1.2,1,1.0,1.0,1.0
Mixed migration flows in Morocco,MAR002,Morocco,MAR,International Displacement,Africa,1.7,2,Increasing,Very High,2.0,0.9,2.4,0.85,0.7,1,2.8,3.0,2.5
DIsplacement from Russia-Ukraine conflict in Moldova,MDA002,Moldova,MDA,International Displacement,Europe,1.6,2,Decreasing,Very High,2.3,3.5,1.6,1.4,1.8,1,1.4,1.8,1.0
Drought in Madagascar,MDG002,Madagascar,MDG,Drought/drier conditions,Africa,2.6,3,Increasing,Very High,2.4,2.5,2.4,3.4,3.8,3,1.4,1.7,1.0
Mixed Migration in Mexico,MEX003,Mexico,MEX,International Displacement,Americas,2.3,3,Increasing,High,2.5,2.5,2.5,2.15,3.3,1,2.5,2.5,2.5
Complex crisis in Mali,MLI001,Mali,MLI,"Conflict/ Violence,International Displacement",Africa,4.3,5,Increasing,Very High,4.6,4.9,4.5,4.3,4.6,4,4.0,3.4,4.5
Rakhine Conflict,MMR002,Myanmar,MMR,Conflict/ Violence,Asia,4,4,Stable,Very High,3.8,1.3,4.5,3.9,3.8,4,4.3,4.1,4.5
Kachin and Shan Conflict,MMR003,Myanmar,MMR,Conflict/ Violence,Asia,3.9,4,Increasing,Very High,3.3,1.9,3.8,3.9,3.8,4,4.3,4.1,4.5
Post-coup conflict in Myanmar,MMR004,Myanmar,MMR,Conflict/ Violence,Asia,4.3,5,Decreasing,Very High,4.5,3.1,4.9,4,5,3,4.6,4.1,5.0
2025 Earthquake in Myanmar,MMR007,Myanmar,MMR,Earthquake,Asia,4.2,5,-,Very High,4.1,3.2,4.4,4.35,4.7,4,4.1,4.1,4.0
Cabo Delgado Islamist Insurgency,MOZ004,Mozambique,MOZ,"Conflict/ Violence,International Displacement",Africa,3.5,4,Decreasing,Very High,3.4,1.4,4.1,3.75,3.5,4,3.1,3.2,3.0
Drought in Mozambique,MOZ012,Mozambique,MOZ,Drought/drier conditions,Africa,3.3,4,Stable,Very High,2.1,2.2,2.1,3.9,3.8,4,2.9,3.2,2.5
2025 Cyclone season ,MOZ013,Mozambique,MOZ,Cyclone,Africa,3.4,4,-,High,3.6,4.3,3.1,3.3,3.6,3,3.4,3.2,3.5
Refugees from Mali in Mauritania,MRT002,Mauritania,MRT,International Displacement,Africa,2.4,3,Increasing,Very High,2.0,2.0,2.0,2.8,2.6,3,2.0,2.4,1.5
Food Security in Mauritania,MRT003,Mauritania,MRT,Drought/drier conditions,Africa,2.6,3,Stable,Very High,2.6,4.3,1.2,2.8,2.6,3,2.2,2.4,2.0
Complex crisis in Malawi,MWI002,Malawi,MWI,"Drought/drier conditions,Cyclone",Africa,3.4,4,Stable,Very High,3.9,4.5,3.6,3.95,4.9,3,2.2,2.3,2.0
International Refugees in Malaysia,MYS001,Malaysia,MYS,International Displacement,Asia,1.7,2,Decreasing,Very High,1.8,1.8,1.8,1.55,2.1,1,1.9,1.7,2.0
Food Security Crisis in Namibia,NAM002,Namibia,NAM,Drought/drier conditions,Africa,2.5,3,Stable,Medium,2.8,4.3,1.7,3.05,3.1,3,1.3,1.5,1.0
Lake Chad basin crisis in Niger,NER002,Niger,NER,Conflict/ Violence,Africa,2.8,3,Decreasing,Very High,2.6,1.2,3.1,2.8,2.6,3,3.0,2.9,3.0
Mali/Burkina Faso conflict,NER003,Niger,NER,Conflict/ Violence,Africa,3,3,Decreasing,Very High,3.0,2.4,3.2,2.95,2.9,3,3.0,2.9,3.0
Nigerian Refugees,NER004,Niger,NER,International Displacement,Africa,2.9,3,Decreasing,Very High,2.2,1.6,2.5,3.15,3.3,3,3.0,2.9,3.0
Complex crisis in Niger,NER006,Niger,NER,"Conflict/ Violence,International Displacement,Drought/drier conditions,Floods",Africa,3.7,4,Decreasing,Very High,4.5,5.0,4.1,3.55,4.1,3,3.2,2.9,3.5
Complex crisis in Nigeria,NGA001,Nigeria,NGA,"Conflict/ Violence,International Displacement,Floods",Africa,4.1,5,Increasing,High,4.1,4.8,3.7,4,5,3,4.1,3.5,4.5
