crisis,crisis_id,country,iso3,drivers,regions,inform_severity_index,inform_severity_category,trend_last_3_months,reliability,impact_of_the_crisis,geographical,human,conditions_of_people_affected,people_in_need,concentration_of_conditions,complexity_of_the_crisis,society_and_safety,operating_environment
Complex crisis in Afghanistan,AFG001,Afghanistan,AFG,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",Asia,4.4,5,Stable,Very High,4.7,4.9,4.6,4.5,5,4,3.9,3.8,4.0
Drought in South-West Angola,AGO002,Angola,AGO,Drought,Africa,2.9,3,Stable,High,2.4,3.9,1.4,3.55,4.1,3,2.1,3.0,1.0
Refugees from Nagorno-Karabakh in Armenia,ARM003,Armenia,ARM,"Displacement,Socio-political",Middle east,2.2,3,-,Very High,2.3,3.1,1.8,2.6,2.2,3,1.4,1.7,1.0
Complex in Burundi,BDI001,Burundi,BDI,"Violence,Displacement,Floods",Africa,3.3,4,Stable,Very High,3.4,4.0,3.0,3.25,3.5,3,3.2,2.9,3.5
Conflict in northern region,BEN002,Benin,BEN,"Conflict,Displacement,Violence",Africa,2,2,Decreasing,Very High,2.3,1.7,2.5,1.65,1.3,2,2.2,2.4,2.0
Conflict in Burkina Faso,BFA002,Burkina Faso,BFA,"Conflict,Displacement,Violence",Africa,4.2,5,Stable,High,4.3,4.7,4.1,4.35,4.7,4,4.0,3.4,4.5
Rohingya refugee crisis,BGD002,Bangladesh,BGD,"Conflict,Violence,Displacement",Asia,3,3,Decreasing,Very High,2.8,0.2,3.7,3.35,3.7,3,2.6,2.6,2.5
Food Security Crisis in Bangladesh,BGD012,Bangladesh,BGD,Food Security,Asia,3.2,4,Decreasing,Very High,2.9,3.6,2.5,4,5,3,2.1,2.6,1.5
Displacement from Russia-Ukraine conflict in Bulgaria,BGR002,Bulgaria,BGR,Displacement,Europe,1.5,2,Decreasing,Very High,2.5,4.0,1.5,1.25,1.5,1,1.1,1.2,1.0
Displacement from Russia-Ukraine conflict in Belarus,BLR002,Belarus,BLR,Displacement,Europe,1.9,2,Increasing,Very High,2.6,4.3,1.3,1.05,1.1,1,2.5,2.4,2.5
Venezuela displacement in Brazil,BRA002,Brazil,BRA,Displacement,Americas,2.3,3,Stable,High,2.8,3.8,2.2,1.95,2.9,1,2.3,2.5,2.0
Drought in the Amazonas,BRA004,Brazil,BRA,Drought,Americas,2.4,3,Stable,Medium,1.6,2.1,1.4,3,3,3,2.0,2.5,1.5
Floods in Rio Grande do Sul,BRA005,Brazil,BRA,Floods,Americas,2.4,3,Stable,High,2.8,2.0,3.2,2.35,2.7,2,2.3,2.5,2.0
Complex crisis in CAR,CAF001,CAR,CAF,"Conflict,Displacement",Africa,4,4,Decreasing,High,4.1,4.4,4.0,4.05,4.1,4,3.9,3.8,4.0
Venezuela displacement in Chile,CHL002,Chile,CHL,Displacement,Americas,2.5,3,Stable,High,3.7,4.8,2.9,2.2,2.4,2,1.7,1.3,2.0
Lake Chad basin crisis in Cameroon,CMR002,Cameroon,CMR,Conflict,Africa,3.4,4,Decreasing,High,3.0,1.5,3.5,3.75,3.5,4,3.2,3.7,2.5
Anglophone Crisis in Cameroon,CMR003,Cameroon,CMR,Conflict,Africa,3.4,4,Decreasing,High,3.3,2.5,3.6,3.4,3.8,3,3.6,3.7,3.5
CAR refugees in Cameroon,CMR004,Cameroon,CMR,"Conflict,Displacement",Africa,2.7,3,Decreasing,High,2.1,2.2,2.0,2.8,2.6,3,3.0,3.7,2.0
Complex crisis in DRC,COD001,DRC,COD,"Conflict,Displacement,Socio-political",Africa,4.3,5,Stable,High,4.3,5.0,3.9,4.5,5,4,4.1,4.2,4.0
Complex crisis in Congo,COG001,Congo,COG,"Conflict,Displacement,Floods",Africa,2.7,3,Stable,High,2.9,4.2,2.0,2.95,2.9,3,2.0,2.5,1.5
Complex crisis in Colombia,COL001,Colombia,COL,"Conflict,Violence,Floods,Displacement",Americas,4.1,5,Stable,High,4.3,5.0,3.8,4.5,5,4,3.2,2.9,3.5
Venezuela displacement in Colombia,COL002,Colombia,COL,Displacement,Americas,3.2,4,Stable,High,3.3,2.9,3.5,3.45,3.9,3,2.7,2.9,2.5
Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,CRI,Displacement,Americas,2.1,3,Stable,High,2.4,1.0,2.9,2.6,2.2,3,1.2,0.9,1.5
Displacement from Russia-Ukraine conflict in Czechia,CZE002,Czech Republic,CZE,Displacement,Europe,1.9,2,Increasing,Very High,2.9,4.2,2.0,1.85,2.7,1,1.1,0.6,1.5
Mixed migration in Djibouti,DJI002,Djibouti,DJI,Displacement,Africa,1.5,2,Increasing,High,2.1,1.7,2.3,0.95,0.9,1,1.8,2.5,1.0
Drought in Djibouti,DJI003,Djibouti,DJI,Drought,Africa,2.6,3,Stable,High,2.2,3.2,1.6,2.7,2.4,3,2.8,2.5,3.0
Venezuela displacement in Dominican Republic,DOM002,Dominican Republic,DOM,Displacement,Americas,1.8,2,Stable,High,3.2,4.1,2.6,1.25,1.5,1,1.2,1.3,1.0
Mixed migration flows in Algeria,DZA002,Algeria,DZA,Displacement,Africa,2.6,3,Stable,High,3.9,5.0,3.1,1.7,2.4,1,2.7,2.9,2.5
Sahrawi refugees in Algeria,DZA003,Algeria,DZA,Displacement,Africa,2.5,3,Stable,High,2.2,1.1,2.7,2.55,2.1,3,2.5,2.9,2.0
Venezuela displacement in Ecuador,ECU002,Ecuador,ECU,Displacement,Americas,2.7,3,Stable,High,3.3,4.6,2.4,2.55,3.1,2,2.3,2.1,2.5
Refugees in Egypt,EGY004,Egypt,EGY,"Displacement,Conflict",Africa,2.2,3,Decreasing,Very High,2.2,2.0,2.3,2.1,3.2,1,2.2,2.3,2.0
Complex crisis in Eritrea,ERI001,Eritrea,ERI,"Socio-political,Displacement",Africa,3,3,Decreasing,High,3.1,3.9,2.6,3.2,3.4,3,2.6,3.1,2.0
Mixed migration flows in Spain,ESP002,Spain,ESP,Displacement,Europe,1.5,2,Decreasing,Very High,2.4,2.3,2.5,1.2,1.4,1,1.3,1.6,1.0
Displacement from Russia-Ukraine conflict in Estonia,EST002,Estonia,EST,Displacement,Europe,1.2,2,Stable,Very High,2.1,3.4,1.3,0.95,0.9,1,0.8,0.6,1.0
Complex crisis in Ethiopia,ETH001,Ethiopia,ETH,"Displacement,Floods,Conflict,Drought",Africa,4.3,5,Stable,Very High,4.6,5.0,4.4,4.5,5,4,3.8,3.6,4.0
International Displacement,ETH003,Ethiopia,ETH,Displacement,Africa,3,3,Decreasing,Medium,4.0,4.7,3.5,2.2,3.4,1,3.3,3.6,3.0
Northern Ethiopia Conflict,ETH004,Ethiopia,ETH,"Conflict,Displacement",Africa,4.2,5,Decreasing,High,4.3,2.9,4.8,4.45,4.9,4,3.8,3.6,4.0
Drought in Ethiopia,ETH005,Ethiopia,ETH,Drought,Africa,4.1,5,Decreasing,High,4.1,4.5,3.8,4.5,5,4,3.3,3.6,3.0
Mixed migration flows in Greece,GRC002,Greece,GRC,Displacement,Europe,2.3,3,Increasing,High,2.3,0.6,3.0,2.65,2.3,3,1.7,1.9,1.5
Complex crisis in Guatemala,GTM001,Guatemala,GTM,"Violence,Socio-political,Other seasonal event",Americas,3.5,4,Stable,High,3.4,4.4,2.8,3.75,4.5,3,3.3,3.0,3.5
Complex crisis in Honduras,HND001,Honduras,HND,"Violence,Socio-political,Other seasonal event",Americas,3.4,4,Stable,High,3.2,4.2,2.6,4.05,4.1,4,2.4,2.8,2.0
Complex crisis in Haiti,HTI001,Haiti,HTI,"Violence,Socio-political,Other seasonal event",Americas,4,4,Stable,High,3.7,4.0,3.6,4.3,4.6,4,3.8,3.5,4.0
Displacement from Russia-Ukraine conflict in Hungary,HUN002,Hungary,HUN,Displacement,Europe,1.5,2,Stable,Very High,2.6,4.2,1.4,1.15,1.3,1,1.1,1.2,1.0
Papua Conflict,IDN002,Indonesia,IDN,"Socio-political,Violence,Conflict",Asia,2.5,3,Stable,High,2.9,2.1,3.3,1.85,1.7,2,3.1,2.6,3.5
