crisis,crisis_id,country,iso3,drivers,regions,inform_severity_index,inform_severity_category,trend_last_3_months,reliability,impact_of_the_crisis,geographical,human,conditions_of_people_affected,people_in_need,concentration_of_conditions,complexity_of_the_crisis,society_and_safety,operating_environment
2024 Monsoon Floods in India,IND006,India,IND,Floods,Asia,2.2,3,Stable,Very High,2.3,1.7,2.5,1.75,1.5,2,2.9,2.7,3.0
Afghan Refugees in Iran,IRN004,Iran,IRN,Displacement,Middle east,3.7,4,Increasing,Medium,3.6,2.7,4.0,4.2,4.4,4,2.9,3.3,2.5
Conflict  in Iraq,IRQ002,Iraq,IRQ,"Conflict,Socio-political,Violence",Middle east,2.8,3,Stable,Very High,4.0,4.7,3.6,1.8,1.6,2,2.9,3.2,2.5
Syrian and Palestinian refugees in iraq,IRQ003,Iraq,IRQ,Displacement,Middle east,2.1,3,Stable,High,2.8,1.6,3.3,1.45,0.9,2,2.6,3.2,2.0
Mixed migration flows in Italy,ITA002,Italy,ITA,Displacement,Europe,1.7,2,Decreasing,Very High,2.6,2.4,2.7,1.2,1.4,1,1.5,1.5,1.5
Syrian refugees in Jordan,JOR002,Jordan,JOR,Displacement,Middle east,2.8,3,Stable,High,2.7,3.0,2.6,3.3,3.6,3,2.0,2.5,1.5
Refugee situation in Kenya,KEN002,Kenya,KEN,Displacement,Africa,2.8,3,Decreasing,High,2.3,0.9,2.9,3.1,3.2,3,2.7,3.3,2.0
Drought in Kenya,KEN003,Kenya,KEN,Drought,Africa,3.4,4,Increasing,Very High,3.9,4.3,3.6,3.35,3.7,3,2.9,3.3,2.5
Typhoon Yagi in Laos,LAO004,Laos,LAO,"Cyclone,Floods",Asia,2.1,3,Increasing,Very High,1.5,2.3,1.0,1.8,1.6,2,3.0,2.9,3.0
Syrian refugees in Lebanon,LBN002,Lebanon,LBN,Displacement,Middle east,3.3,4,Increasing,Very High,3.6,3.6,3.6,3.25,3.5,3,3.1,3.2,3.0
Complex crisis in Lebanon,LBN006,Lebanon,LBN,"Socio-political,Violence,Displacement",Middle east,4.2,5,Increasing,Very High,4.4,3.6,4.7,4.2,4.4,4,3.9,3.2,4.5
Mixed migration flows in Libya,LBY002,Libya,LBY,Displacement,Africa,3.3,4,Decreasing,Very High,3.9,4.6,3.4,3,3,3,3.2,3.3,3.0
Refugees from Sudan in Libya,LBY004,Libya,LBY,Conflict,Africa,3.2,4,Increasing,Very High,2.9,2.8,3.0,3.35,2.7,4,3.2,3.3,3.0
Cyclone Fengal Sri Lanka,LKA006,Sri Lanka,LKA,Cyclone,Asia,1.7,2,-,Very High,1.4,1.8,1.2,1.45,0.9,2,2.2,2.4,2.0
Food security crisis in Lesotho,LSO004,Lesotho,LSO,Drought,Africa,2.2,3,Increasing,High,2.2,3.0,1.7,2.85,2.7,3,1.0,1.4,0.5
Displacement from Russia-Ukraine conflict in Lithuania,LTU002,Lithuania,LTU,Displacement,Europe,1.3,2,Stable,Very High,2.3,3.7,1.3,1.05,1.1,1,0.9,0.8,1.0
Displacement from Russia-Ukraine conflict in Latvia,LVA002,Latvia,LVA,Displacement,Europe,1.3,2,Stable,Very High,2.2,3.5,1.4,1.05,1.1,1,1.0,1.0,1.0
Mixed migration flows in Morocco,MAR002,Morocco,MAR,Displacement,Africa,1.6,2,Decreasing,Very High,1.9,0.9,2.3,0.7,0.4,1,2.8,3.0,2.5
DIsplacement from Russia-Ukraine conflict in Moldova,MDA002,Moldova,MDA,Displacement,Europe,2.1,3,Increasing,Very High,2.4,3.5,1.7,2.45,1.9,3,1.4,1.8,1.0
Drought in Madagascar,MDG002,Madagascar,MDG,Drought,Africa,2.6,3,Stable,Very High,2.4,2.5,2.4,3.35,3.7,3,1.5,2.0,1.0
Criminal Violence in Mexico,MEX002,Mexico,MEX,"Violence,Displacement",Americas,x,x,-,High,3.8,5.0,2.8,x,x,x,3.3,3.0,3.5
Mixed Migration in Mexico,MEX003,Mexico,MEX,Displacement,Americas,2.6,3,Stable,High,3.1,3.8,2.6,2.15,3.3,1,2.8,3.0,2.5
Complex crisis in Mali,MLI001,Mali,MLI,"Conflict,Displacement",Africa,4.2,5,Decreasing,Very High,4.4,4.8,4.1,4.4,4.8,4,3.7,3.4,4.0
Rakhine Conflict,MMR002,Myanmar,MMR,Conflict,Asia,4.1,5,Stable,High,3.9,1.2,4.6,3.85,3.7,4,4.6,4.1,5.0
Kachin and Shan Conflict,MMR003,Myanmar,MMR,Conflict,Asia,3.9,4,Stable,High,3.5,1.9,4.1,3.9,3.8,4,4.3,4.1,4.5
Post-coup conflict in Myanmar,MMR004,Myanmar,MMR,"Violence,Socio-political,Conflict",Asia,4.6,5,Stable,High,4.8,4.9,4.7,4.5,5,4,4.6,4.1,5.0
Cabo Delgado Islamist Insurgency,MOZ004,Mozambique,MOZ,"Conflict,Displacement",Africa,3.6,4,Stable,High,3.5,2.7,3.8,3.85,3.7,4,3.2,3.3,3.0
2024 Rainy and Cyclone season,MOZ011,Mozambique,MOZ,"Floods,Displacement,Cyclone",Africa,3.1,4,Decreasing,High,4.3,5.0,3.9,2.45,2.9,2,2.9,3.3,2.5
Drought in Mozambique,MOZ012,Mozambique,MOZ,Drought,Africa,3.3,4,Decreasing,High,3.3,3.6,3.2,3.6,4.2,3,2.9,3.3,2.5
Refugees from Mali in Mauritania,MRT002,Mauritania,MRT,Displacement,Africa,2.2,3,Stable,Very High,1.8,2.0,1.7,2.45,1.9,3,2.0,2.4,1.5
Food Security in Mauritania,MRT003,Mauritania,MRT,"Drought,Floods",Africa,2.6,3,Stable,Very High,2.6,4.3,1.2,2.8,2.6,3,2.2,2.4,2.0
Complex crisis in Malawi,MWI002,Malawi,MWI,"Drought,Socio-political,Cyclone",Africa,3.4,4,Decreasing,Very High,3.8,4.5,3.4,3.95,4.9,3,2.2,2.3,2.0
International Refugees in Malaysia,MYS001,Malaysia,MYS,Displacement,Asia,1.7,2,Decreasing,Very High,1.8,1.8,1.8,1.55,2.1,1,2.0,1.9,2.0
2024 Northeast Monsoon Floods in Malaysia,MYS003,Malaysia,MYS,Floods,Asia,1.2,2,-,Very High,1.1,1.6,0.9,0.65,0.3,1,2.0,1.9,2.0
Food Security Crisis in Namibia,NAM002,Namibia,NAM,Drought,Africa,2.6,3,Stable,Medium,2.9,4.3,1.9,3.25,3.5,3,1.3,1.5,1.0
Lake Chad basin crisis in Niger,NER002,Niger,NER,Conflict,Africa,3.3,4,Decreasing,High,3.2,1.2,3.9,3.6,3.2,4,3.0,3.0,3.0
Mali/Burkina Faso conflict,NER003,Niger,NER,Conflict,Africa,3.5,4,Stable,High,3.2,2.4,3.5,3.9,3.8,4,3.0,3.0,3.0
Nigerian Refugees,NER004,Niger,NER,Displacement,Africa,3.1,4,Increasing,High,1.9,1.5,2.1,3.6,3.2,4,3.0,3.0,3.0
Complex crisis in Niger,NER006,Niger,NER,"Conflict,Displacement,Drought,Floods,Food Security,Violence",Africa,3.7,4,Increasing,High,4.1,4.9,3.5,3.7,4.4,3,3.3,3.0,3.5
Complex crisis in Nigeria,NGA001,Nigeria,NGA,"Conflict,Displacement,Violence,Floods",Africa,4,4,Decreasing,Very High,4.1,4.8,3.7,4,5,3,3.8,3.5,4.0
Middle belt conflict,NGA003,Nigeria,NGA,"Violence,Conflict",Africa,3.1,4,Decreasing,Very High,2.9,2.3,3.1,3.45,3.9,3,2.8,3.5,2.0
Lake Chad basin crisis in Nigeria,NGA004,Nigeria,NGA,"Conflict,Displacement",Africa,4.2,5,Stable,High,4.1,2.2,4.7,4.4,4.8,4,3.8,3.5,4.0
Northwest Banditry,NGA007,Nigeria,NGA,"Violence,Displacement",Africa,3.5,4,Decreasing,High,3.4,2.8,3.6,3.9,4.8,3,3.0,3.5,2.5
Cameroonian Refugees in Nigeria,NGA008,Nigeria,NGA,Displacement,Africa,2,2,Stable,High,2.4,2.0,2.6,1.35,1.7,1,2.8,3.5,2.0
Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,NIC,Socio-political,Americas,x,x,-,High,3.2,4.0,2.7,x,x,x,1.9,2.7,1.0
Complex crisis in Pakistan,PAK001,Pakistan,PAK,"Displacement,Conflict",Asia,4,4,Increasing,Very High,3.9,5.0,3.1,4,5,3,4.1,3.5,4.5
Kashmir conflict in Pakistan,PAK004,Pakistan,PAK,Conflict,Asia,x,x,-,Medium,0.4,1.0,0.0,x,x,x,3.0,3.5,2.5
Venezuela displacement in Panama,PAN002,Panama,PAN,Displacement,Americas,1.9,2,Decreasing,High,2.5,2.6,2.4,1.9,0.8,3,1.5,1.4,1.5
Venezuela displacement in Peru,PER002,Peru,PER,Displacement,Americas,2.8,3,Stable,High,3.4,4.0,3.0,2.7,3.4,2,2.4,2.2,2.5
Mindanao conflict,PHL003,Philippines,PHL,"Conflict,Violence",Asia,2,2,Decreasing,Very High,2.6,2.7,2.6,1.35,1.7,1,2.6,2.7,2.5
Typhoon Trami in Philippines,PHL016,Philippines,PHL,Cyclone,Asia,2.6,3,Stable,High,2.7,3.8,1.9,2.65,3.3,2,2.6,2.7,2.5
"Typhoons Toraji, Usagi, Man-yi, and Yinxing in Philippines",PHL017,Philippines,PHL,Floods,Asia,2.8,3,-,Very High,2.0,2.7,1.6,3.35,3.7,3,2.6,2.7,2.5
Highlands Violence,PNG003,Papua New Guinea,PNG,Violence,Pacific,2.1,3,Increasing,High,2.2,1.9,2.3,1.35,0.7,2,3.0,2.5,3.5
Displacement from Russia-Ukraine conflict in Poland,POL002,Poland,POL,Displacement,Europe,2.2,3,Increasing,Very High,3.4,4.8,2.3,2.15,3.3,1,1.2,0.8,1.5
Complex crisis in DPRK,PRK001,DPRK,PRK,"Socio-political,Floods,Other seasonal event,Food Security",Asia,4.1,5,Increasing,High,4.5,4.6,4.5,4.5,5,4,3.3,3.5,3.0
Conflict in West Bank,PSE003,Palestine,PSE,"Conflict,Displacement,Socio-political,Violence",Middle east,3.5,4,Stable,Very High,3.8,2.7,4.2,3.15,3.3,3,3.7,2.5,4.5
Conflict in Gaza,PSE004,Palestine,PSE,"Conflict,Displacement,Socio-political,Violence",Middle east,4.2,5,Stable,Very High,3.8,0.9,4.6,4.45,3.9,5,4.1,2.5,5.0
Lake Chad basin regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",0,"Africa,Africa,Africa,Africa",4.2,5,Decreasing,High,4.2,3.8,4.4,4.5,5,4,3.8,3.6,4.0
Venezuela Regional Crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",0,"Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas",3.7,4,Stable,Medium,3.6,3.4,3.7,4,5,3,3.4,2.7,4.0
Syrian Regional Crisis,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",0,"Middle east,Middle east,Middle east,Africa,Middle east,Middle east",4,4,Stable,Medium,3.9,3.6,4.1,4,5,3,4.0,3.4,4.5
Eastern Mediterranean Route ,REG006,"Türkiye,Greece","TUR,GRC",0,"Middle east,Europe",2.4,3,Stable,High,2.4,2.3,2.4,2.35,2.7,2,2.6,2.2,3.0
Central Mediterranean Route,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",0,"Africa,Africa,Africa,Europe",3,3,Stable,High,4.1,5.0,3.5,2.3,3.6,1,3.1,2.6,3.5
Western Mediterranean Route,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",0,"Africa,Africa,Europe",2.6,3,Stable,High,3.8,5.0,2.9,1.8,2.6,1,2.5,2.5,2.5
Rohingya Regional Crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",0,"Asia,Asia",4.1,5,Stable,High,3.9,1.3,4.6,4.1,4.2,4,4.4,3.6,5.0
Southern Africa Regional Food Security Crisis,REG012,"Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",0,"Africa,Africa,Africa,Africa,Africa,Africa,Africa",3.8,4,Stable,High,3.8,4.2,3.6,4,5,3,3.4,2.7,4.0
Nagorno-Karabakh Conflict,REG013,"Armenia,Azerbaijan","ARM,AZE",0,"Middle east,Middle east",2.3,3,Stable,High,2.0,1.7,2.2,2.5,2,3,2.2,2.3,2.0
Eastern Africa Regional Drought Crisis,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",Drought,"Africa,Africa,Africa",4.4,5,Stable,High,4.2,4.6,3.9,4.5,5,4,4.5,3.7,5.0
Turkiye / Syria earthquake,REG015,"Türkiye,Syria","TUR,SYR",Earthquake,"Middle east,Middle east",3.6,4,Stable,Medium,3.4,2.6,3.7,3.6,4.2,3,3.9,3.0,4.5
Displacement from Russia-Ukraine conflict in Romania,ROU002,Romania,ROU,Displacement,Europe,1.9,2,Increasing,Very High,3.0,4.6,1.7,1.55,2.1,1,1.3,1.0,1.5
Displacement from Russia-Ukraine conflict in Russia,RUS002,Russia,RUS,"Conflict,Displacement",Europe,2.8,3,Stable,Very High,3.6,5.0,2.3,2.25,3.5,1,3.0,3.4,2.5
Burundi and DRC refugees in Rwanda,RWA002,Rwanda,RWA,Displacement,Africa,2.4,3,Stable,Medium,2.5,2.2,2.7,2.45,1.9,3,2.3,3.0,1.5
Complex crisis in Sudan,SDN001,Sudan,SDN,"Displacement,Violence,Floods,Conflict",Africa,4.7,5,Decreasing,Very High,5.0,5.0,5.0,4.5,5,4,4.6,4.2,5.0
Refugees in Sudan,SDN005,Sudan,SDN,Displacement,Africa,3.3,4,Stable,Very High,4.0,5.0,3.3,2.6,3.2,2,3.5,4.2,2.5
Food security crisis in Senegal,SEN002,Senegal,SEN,Socio-political,Africa,2.4,3,Stable,High,2.9,4.5,1.6,2.65,3.3,2,1.7,2.3,1.0
Complex crisis in El Salvador,SLV001,El Salvador,SLV,"Displacement,Violence,Floods,Drought",Americas,3.1,4,Stable,High,2.9,3.7,2.4,3.7,3.4,4,2.3,2.1,2.5
Complex crisis in Somalia,SOM001,Somalia,SOM,"Conflict,Displacement,Floods,Drought",Africa,4.4,5,Decreasing,Very High,4.5,4.8,4.3,4.3,4.6,4,4.5,3.8,5.0
Mixed Migration Flows in Somalia,SOM002,Somalia,SOM,Displacement,Africa,2,2,Decreasing,Very High,2.0,1.5,2.3,1,1,1,3.4,3.8,3.0
Complex crisis in South Sudan,SSD001,South Sudan,SSD,"Conflict,Floods,Displacement",Africa,4.5,5,Increasing,Very High,4.5,4.6,4.5,4.45,4.9,4,4.5,3.7,5.0
Displacement from Russia-Ukraine conflict in Slovakia,SVK002,Slovakia,SVK,Displacement,Europe,1.7,2,Increasing,Very High,2.5,3.8,1.6,1.45,1.9,1,1.3,1.0,1.5
Food Security Crisis in Eswatini,SWZ001,Eswatini,SWZ,Drought,Africa,2.3,3,Stable,High,2.2,3.1,1.6,2.75,2.5,3,1.7,2.3,1.0
Socioeconomic and Conflict Crisis in Syria,SYR003,Syria,SYR,"Conflict,Displacement,Socio-political,Violence",Middle east,4.6,5,-,Very High,4.9,4.6,5.0,4.5,5,4,4.4,4.2,4.5
Complex crisis in Chad,TCD001,Chad,TCD,"Conflict,Displacement,Floods",Africa,3.7,4,Decreasing,High,4.0,4.8,3.5,3.8,4.6,3,3.4,3.8,3.0
Lake Chad basin crisis,TCD003,Chad,TCD,Conflict,Africa,3.3,4,Stable,High,2.8,0.6,3.6,3.4,2.8,4,3.4,3.8,3.0
CAR refugees in Chad,TCD004,Chad,TCD,Displacement,Africa,3,3,Stable,High,2.4,1.8,2.6,3.2,3.4,3,3.2,3.8,2.5
Darfur refugees in Chad,TCD005,Chad,TCD,Displacement,Africa,3.3,4,Increasing,High,2.9,2.1,3.3,3.45,3.9,3,3.2,3.8,2.5
Myanmar refugees in Thailand,THA003,Thailand,THA,Conflict,Asia,2.3,3,Increasing,Very High,1.6,0.5,2.1,2.4,1.8,3,2.5,2.5,2.5
2024 Monsoon Floods in Thailand,THA004,Thailand,THA,Floods,Asia,2.2,3,Stable,Very High,2.7,3.8,2.0,1.45,1.9,1,2.8,2.5,3.0
Food Security Crisis in Timor-Leste,TLS003,Timor Leste,TLS,Food Security,Asia,2,2,Stable,Very High,2.2,3.1,1.6,2.8,2.6,3,0.7,0.9,0.5
Venezuelan refugees in Trinidad and Tobago,TTO002,Trinidad and Tobago,TTO,Displacement,Americas,1.5,2,Decreasing,High,2.5,2.9,2.3,0.85,0.7,1,1.5,1.4,1.5
Mixed migration flows in Tunisia,TUN002,Tunisia,TUN,Displacement,Africa,2,2,Decreasing,Very High,2.4,1.6,2.7,1,1,1,3.0,2.5,3.5
Syrian Refugees in Türkiye,TUR002,Türkiye,TUR,Displacement,Middle east,3.1,4,Stable,Very High,3.1,3.2,3.0,3.45,3.9,3,2.7,2.8,2.5
Mixed Migration Flows in Türkiye,TUR003,Türkiye,TUR,Displacement,Middle east,2.4,3,Increasing,Very High,2.4,2.3,2.4,2.25,2.5,2,2.7,2.8,2.5
Kurdish Conflict,TUR004,Türkiye,TUR,Conflict,Middle east,x,x,-,High,2.6,1.7,3.0,x,x,x,2.4,2.8,2.0
Türkiye / Syria earthquake in Türkiye,TUR005,Türkiye,TUR,Earthquake,Middle east,2.9,3,Stable,High,2.5,2.2,2.6,3.45,3.9,3,2.4,2.8,2.0
International Displacement in Tanzania,TZA002,Tanzania,TZA,Displacement,Africa,2.4,3,Stable,High,3.2,2.4,3.5,2.15,2.3,2,2.0,1.9,2.0
Food Security Crisis in North-East Tanzania,TZA003,Tanzania,TZA,Drought,Africa,2.3,3,Stable,High,1.7,2.5,1.3,2.8,2.6,3,2.0,1.9,2.0
International Displacement in Uganda,UGA005,Uganda,UGA,Displacement,Africa,3.3,4,Stable,High,3.2,1.7,3.8,3.4,3.8,3,3.2,3.7,2.5
Russia-Ukraine conflict,UKR002,Ukraine,UKR,"Conflict,Displacement",Europe,4.4,5,Stable,Very High,4.4,4.9,4.0,4.5,5,4,4.1,2.4,5.0
Complex crisis in Venezuela,VEN001,Venezuela,VEN,"Socio-political,Violence,Floods",Americas,4,4,Stable,High,4.4,4.9,4.1,3.9,4.8,3,3.7,3.3,4.0
Typhoon Yagi in Vietnam,VNM003,Vietnam,VNM,Cyclone,Asia,2.6,3,Decreasing,Very High,2.9,3.3,2.6,2.45,2.9,2,2.7,2.9,2.5
Conflict in Yemen,YEM001,Yemen,YEM,"Conflict,Displacement",Middle east,4.8,5,Increasing,High,4.7,4.9,4.6,5,5,5,4.5,3.8,5.0
Mixed migration flows in Yemen,YEM002,Yemen,YEM,Displacement,Middle east,3.2,4,Stable,High,3.2,1.4,3.8,3.3,2.6,4,3.0,3.8,2.0
Drought in Zambia,ZMB002,Zambia,ZMB,"Drought,Food Security",Africa,3.5,4,Decreasing,High,4.0,4.8,3.5,4,5,3,2.2,2.4,2.0
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,ZWE,"Socio-political,Drought,Food Security",Africa,3.7,4,Decreasing,High,4.1,4.6,3.8,3.9,4.8,3,3.2,3.3,3.0
Mutliple crises in Bangladesh,BGD001,Bangladesh,BGD,"Conflict,Violence,Displacement,Floods",Asia,3.5,4,Decreasing,Very High,3.3,3.6,3.1,4,5,3,2.8,2.6,3.0
Country level Brazil,BRA001,Brazil,BRA,"Displacement,Floods,Drought",Americas,2.5,3,Decreasing,High,3.5,4.2,3.1,2.35,3.7,1,1.8,2.5,1.0
Multiple crises in Cameroon,CMR001,Cameroon,CMR,"Conflict,Displacement",Africa,3.7,4,Decreasing,High,3.8,3.9,3.8,3.6,4.2,3,3.9,3.7,4.0
